OrderID;OrderDate;PropertyID;ProductID;Quantity;ProductName;ProductCategory;Price;Sales;City;;;
35;06/01/2015;1;87;1;End Table;Public Areas;30;30;New York;;;
36;06/01/2015;2;37;2;Bed (King);Furnishings;300;600;Cincinnati;;;
37;06/01/2015;3;23;3;Printer Toner;Office Supplies;85;255;Portland;;;
38;06/01/2015;8;37;3;Bed (King);Furnishings;300;900;Philadelphia;;;
39;06/01/2015;10;30;3;Permanent Markers;Office Supplies;6;18;Arlington;;;
40;06/01/2015;19;83;2;Bar Stool;Public Areas;60;120;Los Angeles;;;
41;07/01/2015;13;19;2;Light Bulb;Housekeeping;17;34;New Orleans;;;
42;07/01/2015;10;27;2;Invisible Tape;Office Supplies;8;16;Arlington;;;
43;07/01/2015;5;87;3;End Table;Public Areas;30;90;Kansas City;;;
44;07/01/2015;1;19;2;Light Bulb;Housekeeping;17;34;New York;;;
45;07/01/2015;9;23;2;Printer Toner;Office Supplies;85;170;Richmond;;;
46;08/01/2015;6;28;2;Staples;Office Supplies;8;16;Orlando;;;
47;08/01/2015;14;47;3;Swivel Chair;Furnishings;75;225;Nashville;;;
48;08/01/2015;18;58;1;Mirror;Furnishings;85;85;Phoenix;;;
49;08/01/2015;15;13;3;Bed Sheet (Double);Housekeeping;20;60;Chicago;;;
50;08/01/2015;19;91;2;Small Sign;Public Areas;14;28;Los Angeles;;;
51;08/01/2015;5;67;2;Adjustable Wrench;Maintenance;10;20;Kansas City;;;
52;08/01/2015;10;25;3;Envelopes (Legal);Office Supplies;28;84;Arlington;;;
53;09/01/2015;8;51;3;Painting;Furnishings;85;255;Philadelphia;;;
54;09/01/2015;5;24;2;Envelopes (Letter);Office Supplies;24;48;Kansas City;;;
55;09/01/2015;14;8;3;Bath Soap;Housekeeping;35;105;Nashville;;;
56;10/01/2015;16;70;3;Door Lock;Maintenance;117;351;Denver;;;
57;10/01/2015;19;41;2;Office Chair;Furnishings;85;170;Los Angeles;;;
58;10/01/2015;19;42;1;Reading Chair;Furnishings;70;70;Los Angeles;;;
59;10/01/2015;13;93;2;Terminal;Public Areas;85;170;New Orleans;;;
60;10/01/2015;13;42;2;Reading Chair;Furnishings;70;140;New Orleans;;;
61;10/01/2015;1;18;3;Coffee Cup;Housekeeping;24;72;New York;;;
62;10/01/2015;2;59;1;Screws;Maintenance;14;14;Cincinnati;;;
63;10/01/2015;7;19;2;Light Bulb;Housekeeping;17;34;Boston;;;
64;11/01/2015;1;73;2;Mop;Maintenance;15;30;New York;;;
65;11/01/2015;6;83;1;Bar Stool;Public Areas;60;60;Orlando;;;
66;11/01/2015;3;74;1;Large Plant;Public Areas;35;35;Portland;;;
67;11/01/2015;5;70;2;Door Lock;Maintenance;117;234;Kansas City;;;
68;11/01/2015;6;84;3;Tall Chair;Public Areas;75;225;Orlando;;;
69;11/01/2015;2;48;2;Side Table;Furnishings;40;80;Cincinnati;;;
70;11/01/2015;14;65;1;Ladder;Maintenance;89;89;Nashville;;;
71;12/01/2015;19;30;1;Permanent Markers;Office Supplies;6;6;Los Angeles;;;
72;12/01/2015;10;36;1;Armoire;Furnishings;115;115;Arlington;;;
73;12/01/2015;11;25;3;Envelopes (Legal);Office Supplies;28;84;Atlanta;;;
74;12/01/2015;17;16;3;Mouthwash;Housekeeping;40;120;Las Vegas;;;
75;12/01/2015;3;27;2;Invisible Tape;Office Supplies;8;16;Portland;;;
76;12/01/2015;2;44;1;Floor Lamp;Furnishings;55;55;Cincinnati;;;
77;13/01/2015;18;44;3;Floor Lamp;Furnishings;55;165;Phoenix;;;
78;13/01/2015;14;72;1;Nails;Maintenance;12;12;Nashville;;;
79;13/01/2015;16;39;3;Alarm Clock;Furnishings;45;135;Denver;;;
80;13/01/2015;8;85;1;Low Chair;Public Areas;80;80;Philadelphia;;;
81;13/01/2015;2;75;2;Small Plant;Public Areas;25;50;Cincinnati;;;
82;14/01/2015;7;60;1;Portable Drill;Maintenance;195;195;Boston;;;
83;14/01/2015;20;53;1;Iron;Furnishings;20;20;San Francisco;;;
84;14/01/2015;11;67;2;Adjustable Wrench;Maintenance;10;20;Atlanta;;;
85;14/01/2015;20;65;1;Ladder;Maintenance;89;89;San Francisco;;;
86;14/01/2015;6;94;1;Monitor;Public Areas;70;70;Orlando;;;
87;14/01/2015;14;44;3;Floor Lamp;Furnishings;55;165;Nashville;;;
88;14/01/2015;6;58;1;Mirror;Furnishings;85;85;Orlando;;;
89;14/01/2015;9;59;3;Screws;Maintenance;14;42;Richmond;;;
90;15/01/2015;13;84;1;Tall Chair;Public Areas;75;75;New Orleans;;;
91;15/01/2015;16;16;3;Mouthwash;Housekeeping;40;120;Denver;;;
92;15/01/2015;2;58;3;Mirror;Furnishings;85;255;Cincinnati;;;
93;15/01/2015;4;73;1;Mop;Maintenance;15;15;Seattle;;;
94;15/01/2015;19;59;2;Screws;Maintenance;14;28;Los Angeles;;;
95;15/01/2015;12;84;3;Tall Chair;Public Areas;75;225;Dallas;;;
96;16/01/2015;3;92;3;Large Sign;Public Areas;20;60;Portland;;;
97;16/01/2015;12;34;2;Shower Curtain;Furnishings;5;10;Dallas;;;
98;16/01/2015;12;34;3;Shower Curtain;Furnishings;5;15;Dallas;;;
99;16/01/2015;1;64;2;Gaffer's Tape;Maintenance;27;54;New York;;;
100;16/01/2015;10;24;1;Envelopes (Letter);Office Supplies;24;24;Arlington;;;
101;16/01/2015;12;31;3;Sticky Notes;Office Supplies;20;60;Dallas;;;
102;16/01/2015;8;73;1;Mop;Maintenance;15;15;Philadelphia;;;
103;17/01/2015;19;78;1;Small Area Rug;Public Areas;20;20;Los Angeles;;;
104;17/01/2015;11;16;3;Mouthwash;Housekeeping;40;120;Atlanta;;;
105;17/01/2015;4;50;2;Small Vase;Furnishings;33;66;Seattle;;;
106;17/01/2015;14;85;2;Low Chair;Public Areas;80;160;Nashville;;;
107;17/01/2015;16;56;2;Telephone;Furnishings;38;76;Denver;;;
108;18/01/2015;4;25;1;Envelopes (Legal);Office Supplies;28;28;Seattle;;;
109;18/01/2015;13;90;2;Luggage Cart;Public Areas;138;276;New Orleans;;;
110;18/01/2015;3;72;2;Nails;Maintenance;12;24;Portland;;;
111;18/01/2015;3;39;2;Alarm Clock;Furnishings;45;90;Portland;;;
112;18/01/2015;15;10;1;Toilet Paper;Housekeeping;19;19;Chicago;;;
113;18/01/2015;15;15;3;Drinking Glass;Housekeeping;24;72;Chicago;;;
114;18/01/2015;3;75;1;Small Plant;Public Areas;25;25;Portland;;;
115;19/01/2015;10;4;2;Shampoo;Housekeeping;40;80;Arlington;;;
116;19/01/2015;8;47;2;Swivel Chair;Furnishings;75;150;Philadelphia;;;
117;19/01/2015;15;34;3;Shower Curtain;Furnishings;5;15;Chicago;;;
118;20/01/2015;13;10;2;Toilet Paper;Housekeeping;19;38;New Orleans;;;
119;20/01/2015;17;79;2;Coffee Table;Public Areas;103;206;Las Vegas;;;
120;20/01/2015;19;72;3;Nails;Maintenance;12;36;Los Angeles;;;
121;20/01/2015;5;5;2;Moisturizer;Housekeeping;40;80;Kansas City;;;
122;20/01/2015;13;7;3;Hand Soap;Housekeeping;35;105;New Orleans;;;
123;21/01/2015;20;22;1;Paper Clips;Office Supplies;3;3;San Francisco;;;
124;21/01/2015;10;2;2;Hand Towel;Housekeeping;5;10;Arlington;;;
125;21/01/2015;11;3;3;Washcloth;Housekeeping;3;9;Atlanta;;;
126;21/01/2015;16;45;3;Computer Desk;Furnishings;102;306;Denver;;;
127;21/01/2015;18;91;1;Small Sign;Public Areas;14;14;Phoenix;;;
128;21/01/2015;11;41;2;Office Chair;Furnishings;85;170;Atlanta;;;
129;22/01/2015;2;39;1;Alarm Clock;Furnishings;45;45;Cincinnati;;;
130;22/01/2015;1;56;3;Telephone;Furnishings;38;114;New York;;;
131;22/01/2015;4;59;3;Screws;Maintenance;14;42;Seattle;;;
132;22/01/2015;11;67;3;Adjustable Wrench;Maintenance;10;30;Atlanta;;;
133;22/01/2015;9;29;3;Erasable Markers;Office Supplies;6;18;Richmond;;;
134;22/01/2015;6;37;2;Bed (King);Furnishings;300;600;Orlando;;;
135;22/01/2015;4;38;1;Bed (Double);Furnishings;250;250;Seattle;;;
136;22/01/2015;15;36;3;Armoire;Furnishings;115;345;Chicago;;;
137;22/01/2015;15;66;1;Wood Glue;Maintenance;21;21;Chicago;;;
138;22/01/2015;8;61;2;Tape Measure;Maintenance;8;16;Philadelphia;;;
139;23/01/2015;8;2;3;Hand Towel;Housekeeping;5;15;Philadelphia;;;
140;23/01/2015;17;78;1;Small Area Rug;Public Areas;20;20;Las Vegas;;;
141;23/01/2015;11;14;3;Pillowcase;Housekeeping;15;45;Atlanta;;;
142;23/01/2015;17;88;1;Serving Tray;Public Areas;6;6;Las Vegas;;;
143;23/01/2015;14;16;1;Mouthwash;Housekeeping;40;40;Nashville;;;
144;23/01/2015;9;49;3;Large Vase;Furnishings;27;81;Richmond;;;
145;23/01/2015;5;69;3;Door Knob;Maintenance;41;123;Kansas City;;;
146;23/01/2015;17;16;1;Mouthwash;Housekeeping;40;40;Las Vegas;;;
147;23/01/2015;8;68;3;Window Screen;Maintenance;30;90;Philadelphia;;;
148;23/01/2015;3;69;2;Door Knob;Maintenance;41;82;Portland;;;
149;23/01/2015;8;73;1;Mop;Maintenance;15;15;Philadelphia;;;
150;24/01/2015;2;45;3;Computer Desk;Furnishings;102;306;Cincinnati;;;
151;24/01/2015;18;77;2;Large Area Rug;Public Areas;40;80;Phoenix;;;
152;24/01/2015;10;93;2;Terminal;Public Areas;85;170;Arlington;;;
153;24/01/2015;17;50;3;Small Vase;Furnishings;33;99;Las Vegas;;;
154;24/01/2015;20;14;1;Pillowcase;Housekeeping;15;15;San Francisco;;;
155;24/01/2015;1;52;3;Ironing Board;Furnishings;18;54;New York;;;
156;24/01/2015;19;6;3;Conditioner;Housekeeping;40;120;Los Angeles;;;
157;24/01/2015;9;56;2;Telephone;Furnishings;38;76;Richmond;;;
158;24/01/2015;14;37;3;Bed (King);Furnishings;300;900;Nashville;;;
159;25/01/2015;9;90;3;Luggage Cart;Public Areas;138;414;Richmond;;;
160;25/01/2015;4;65;1;Ladder;Maintenance;89;89;Seattle;;;
161;25/01/2015;18;58;2;Mirror;Furnishings;85;170;Phoenix;;;
162;25/01/2015;9;24;2;Envelopes (Letter);Office Supplies;24;48;Richmond;;;
163;25/01/2015;17;41;2;Office Chair;Furnishings;85;170;Las Vegas;;;
164;25/01/2015;13;50;2;Small Vase;Furnishings;33;66;New Orleans;;;
165;25/01/2015;4;93;3;Terminal;Public Areas;85;255;Seattle;;;
166;25/01/2015;16;82;3;Business Cards;Public Areas;60;180;Denver;;;
167;25/01/2015;8;13;3;Bed Sheet (Double);Housekeeping;20;60;Philadelphia;;;
168;26/01/2015;13;42;1;Reading Chair;Furnishings;70;70;New Orleans;;;
169;26/01/2015;8;90;2;Luggage Cart;Public Areas;138;276;Philadelphia;;;
170;26/01/2015;12;14;1;Pillowcase;Housekeeping;15;15;Dallas;;;
171;26/01/2015;7;9;1;Tissues;Housekeeping;14;14;Boston;;;
172;26/01/2015;15;27;2;Invisible Tape;Office Supplies;8;16;Chicago;;;
173;27/01/2015;17;92;2;Large Sign;Public Areas;20;40;Las Vegas;;;
174;27/01/2015;19;38;1;Bed (Double);Furnishings;250;250;Los Angeles;;;
175;27/01/2015;20;87;3;End Table;Public Areas;30;90;San Francisco;;;
176;27/01/2015;6;1;1;Large Towel;Housekeeping;9;9;Orlando;;;
177;27/01/2015;20;67;2;Adjustable Wrench;Maintenance;10;20;San Francisco;;;
178;27/01/2015;2;52;3;Ironing Board;Furnishings;18;54;Cincinnati;;;
179;27/01/2015;20;68;1;Window Screen;Maintenance;30;30;San Francisco;;;
180;27/01/2015;19;56;2;Telephone;Furnishings;38;76;Los Angeles;;;
181;27/01/2015;13;81;3;Flyer Holder;Public Areas;3;9;New Orleans;;;
182;27/01/2015;5;72;2;Nails;Maintenance;12;24;Kansas City;;;
183;27/01/2015;9;16;2;Mouthwash;Housekeeping;40;80;Richmond;;;
184;28/01/2015;5;51;2;Painting;Furnishings;85;170;Kansas City;;;
185;28/01/2015;2;24;1;Envelopes (Letter);Office Supplies;24;24;Cincinnati;;;
186;28/01/2015;6;35;1;Tissue Box;Furnishings;25;25;Orlando;;;
187;28/01/2015;20;11;3;Shower Cap;Housekeeping;10;30;San Francisco;;;
188;28/01/2015;10;3;2;Washcloth;Housekeeping;3;6;Arlington;;;
189;29/01/2015;14;64;1;Gaffer's Tape;Maintenance;27;27;Nashville;;;
190;29/01/2015;12;6;2;Conditioner;Housekeeping;40;80;Dallas;;;
191;29/01/2015;17;70;1;Door Lock;Maintenance;117;117;Las Vegas;;;
192;29/01/2015;13;60;2;Portable Drill;Maintenance;195;390;New Orleans;;;
193;30/01/2015;18;68;2;Window Screen;Maintenance;30;60;Phoenix;;;
194;30/01/2015;17;62;1;Leaf Blower;Maintenance;202;202;Las Vegas;;;
195;30/01/2015;8;36;1;Armoire;Furnishings;115;115;Philadelphia;;;
196;30/01/2015;12;71;2;Hammer;Maintenance;17;34;Dallas;;;
197;30/01/2015;12;54;2;Chest of Drawers;Furnishings;150;300;Dallas;;;
198;30/01/2015;13;52;1;Ironing Board;Furnishings;18;18;New Orleans;;;
199;30/01/2015;20;58;3;Mirror;Furnishings;85;255;San Francisco;;;
200;31/01/2015;16;25;2;Envelopes (Legal);Office Supplies;28;56;Denver;;;
201;31/01/2015;14;27;3;Invisible Tape;Office Supplies;8;24;Nashville;;;
202;31/01/2015;10;5;1;Moisturizer;Housekeeping;40;40;Arlington;;;
203;01/02/2015;18;11;2;Shower Cap;Housekeeping;10;20;Phoenix;;;
204;01/02/2015;15;65;2;Ladder;Maintenance;89;178;Chicago;;;
205;02/02/2015;1;42;3;Reading Chair;Furnishings;70;210;New York;;;
206;02/02/2015;18;2;2;Hand Towel;Housekeeping;5;10;Phoenix;;;
207;02/02/2015;7;53;1;Iron;Furnishings;20;20;Boston;;;
208;02/02/2015;4;8;1;Bath Soap;Housekeeping;35;35;Seattle;;;
209;02/02/2015;2;63;1;Duct Tape;Maintenance;27;27;Cincinnati;;;
210;02/02/2015;1;3;3;Washcloth;Housekeeping;3;9;New York;;;
211;02/02/2015;17;75;3;Small Plant;Public Areas;25;75;Las Vegas;;;
212;02/02/2015;3;36;2;Armoire;Furnishings;115;230;Portland;;;
213;03/02/2015;3;33;3;Towel Rack;Furnishings;10;30;Portland;;;
214;03/02/2015;14;58;3;Mirror;Furnishings;85;255;Nashville;;;
215;03/02/2015;5;39;1;Alarm Clock;Furnishings;45;45;Kansas City;;;
216;03/02/2015;3;54;2;Chest of Drawers;Furnishings;150;300;Portland;;;
217;03/02/2015;19;81;1;Flyer Holder;Public Areas;3;3;Los Angeles;;;
218;03/02/2015;17;94;2;Monitor;Public Areas;70;140;Las Vegas;;;
219;04/02/2015;1;2;3;Hand Towel;Housekeeping;5;15;New York;;;
220;04/02/2015;12;36;2;Armoire;Furnishings;115;230;Dallas;;;
221;04/02/2015;1;53;3;Iron;Furnishings;20;60;New York;;;
222;05/02/2015;10;22;2;Paper Clips;Office Supplies;3;6;Arlington;;;
223;05/02/2015;1;6;3;Conditioner;Housekeeping;40;120;New York;;;
224;05/02/2015;3;72;1;Nails;Maintenance;12;12;Portland;;;
225;05/02/2015;2;9;1;Tissues;Housekeeping;14;14;Cincinnati;;;
226;06/02/2015;8;80;3;Poster Stand;Public Areas;27;81;Philadelphia;;;
227;06/02/2015;7;46;1;Safe;Furnishings;115;115;Boston;;;
228;06/02/2015;8;71;2;Hammer;Maintenance;17;34;Philadelphia;;;
229;06/02/2015;15;30;2;Permanent Markers;Office Supplies;6;12;Chicago;;;
230;07/02/2015;4;39;2;Alarm Clock;Furnishings;45;90;Seattle;;;
231;08/02/2015;3;36;1;Armoire;Furnishings;115;115;Portland;;;
232;08/02/2015;10;29;1;Erasable Markers;Office Supplies;6;6;Arlington;;;
233;08/02/2015;9;64;1;Gaffer's Tape;Maintenance;27;27;Richmond;;;
234;08/02/2015;13;58;1;Mirror;Furnishings;85;85;New Orleans;;;
235;08/02/2015;1;5;1;Moisturizer;Housekeeping;40;40;New York;;;
236;08/02/2015;20;74;3;Large Plant;Public Areas;35;105;San Francisco;;;
237;08/02/2015;7;33;2;Towel Rack;Furnishings;10;20;Boston;;;
238;09/02/2015;4;36;3;Armoire;Furnishings;115;345;Seattle;;;
239;09/02/2015;17;34;3;Shower Curtain;Furnishings;5;15;Las Vegas;;;
240;09/02/2015;3;67;1;Adjustable Wrench;Maintenance;10;10;Portland;;;
241;09/02/2015;20;93;1;Terminal;Public Areas;85;85;San Francisco;;;
242;09/02/2015;2;69;2;Door Knob;Maintenance;41;82;Cincinnati;;;
243;09/02/2015;7;53;2;Iron;Furnishings;20;40;Boston;;;
244;10/02/2015;16;40;1;Coffee Maker;Furnishings;119;119;Denver;;;
245;10/02/2015;19;15;3;Drinking Glass;Housekeeping;24;72;Los Angeles;;;
246;10/02/2015;16;92;1;Large Sign;Public Areas;20;20;Denver;;;
247;10/02/2015;16;39;1;Alarm Clock;Furnishings;45;45;Denver;;;
248;10/02/2015;16;19;2;Light Bulb;Housekeeping;17;34;Denver;;;
249;10/02/2015;5;49;3;Large Vase;Furnishings;27;81;Kansas City;;;
250;10/02/2015;14;50;2;Small Vase;Furnishings;33;66;Nashville;;;
251;10/02/2015;14;66;1;Wood Glue;Maintenance;21;21;Nashville;;;
252;11/02/2015;14;30;1;Permanent Markers;Office Supplies;6;6;Nashville;;;
253;11/02/2015;5;12;3;Bed Sheet (King);Housekeeping;29;87;Kansas City;;;
254;11/02/2015;7;31;1;Sticky Notes;Office Supplies;20;20;Boston;;;
255;11/02/2015;11;78;3;Small Area Rug;Public Areas;20;60;Atlanta;;;
256;11/02/2015;9;42;1;Reading Chair;Furnishings;70;70;Richmond;;;
257;11/02/2015;20;65;2;Ladder;Maintenance;89;178;San Francisco;;;
258;11/02/2015;6;61;2;Tape Measure;Maintenance;8;16;Orlando;;;
259;11/02/2015;5;89;2;Photograph;Public Areas;45;90;Kansas City;;;
260;11/02/2015;14;47;2;Swivel Chair;Furnishings;75;150;Nashville;;;
261;11/02/2015;17;38;2;Bed (Double);Furnishings;250;500;Las Vegas;;;
262;12/02/2015;12;19;2;Light Bulb;Housekeeping;17;34;Dallas;;;
263;12/02/2015;12;37;2;Bed (King);Furnishings;300;600;Dallas;;;
264;12/02/2015;13;55;2;Television;Furnishings;200;400;New Orleans;;;
265;12/02/2015;14;2;2;Hand Towel;Housekeeping;5;10;Nashville;;;
266;12/02/2015;8;91;1;Small Sign;Public Areas;14;14;Philadelphia;;;
267;12/02/2015;10;55;1;Television;Furnishings;200;200;Arlington;;;
268;12/02/2015;5;55;2;Television;Furnishings;200;400;Kansas City;;;
269;13/02/2015;7;49;3;Large Vase;Furnishings;27;81;Boston;;;
270;13/02/2015;8;81;2;Flyer Holder;Public Areas;3;6;Philadelphia;;;
271;13/02/2015;10;86;2;Sofa;Public Areas;215;430;Arlington;;;
272;13/02/2015;9;38;2;Bed (Double);Furnishings;250;500;Richmond;;;
273;13/02/2015;12;58;3;Mirror;Furnishings;85;255;Dallas;;;
274;13/02/2015;5;49;1;Large Vase;Furnishings;27;27;Kansas City;;;
275;13/02/2015;8;72;3;Nails;Maintenance;12;36;Philadelphia;;;
276;13/02/2015;19;91;2;Small Sign;Public Areas;14;28;Los Angeles;;;
277;13/02/2015;12;75;2;Small Plant;Public Areas;25;50;Dallas;;;
278;13/02/2015;1;84;1;Tall Chair;Public Areas;75;75;New York;;;
279;14/02/2015;6;51;3;Painting;Furnishings;85;255;Orlando;;;
280;14/02/2015;5;5;2;Moisturizer;Housekeeping;40;80;Kansas City;;;
281;14/02/2015;14;44;1;Floor Lamp;Furnishings;55;55;Nashville;;;
282;14/02/2015;20;6;2;Conditioner;Housekeeping;40;80;San Francisco;;;
283;14/02/2015;3;61;2;Tape Measure;Maintenance;8;16;Portland;;;
284;14/02/2015;15;17;3;Clothes Hanger;Housekeeping;18;54;Chicago;;;
285;14/02/2015;7;44;2;Floor Lamp;Furnishings;55;110;Boston;;;
286;15/02/2015;13;93;1;Terminal;Public Areas;85;85;New Orleans;;;
287;15/02/2015;18;21;3;Printer Paper;Office Supplies;50;150;Phoenix;;;
288;15/02/2015;16;48;2;Side Table;Furnishings;40;80;Denver;;;
289;15/02/2015;10;40;2;Coffee Maker;Furnishings;119;238;Arlington;;;
290;15/02/2015;11;9;1;Tissues;Housekeeping;14;14;Atlanta;;;
291;15/02/2015;10;12;1;Bed Sheet (King);Housekeeping;29;29;Arlington;;;
292;15/02/2015;8;90;3;Luggage Cart;Public Areas;138;414;Philadelphia;;;
293;15/02/2015;12;38;2;Bed (Double);Furnishings;250;500;Dallas;;;
294;16/02/2015;19;63;3;Duct Tape;Maintenance;27;81;Los Angeles;;;
295;16/02/2015;18;51;2;Painting;Furnishings;85;170;Phoenix;;;
296;16/02/2015;16;70;3;Door Lock;Maintenance;117;351;Denver;;;
297;16/02/2015;18;61;2;Tape Measure;Maintenance;8;16;Phoenix;;;
298;16/02/2015;12;14;1;Pillowcase;Housekeeping;15;15;Dallas;;;
299;16/02/2015;4;4;2;Shampoo;Housekeeping;40;80;Seattle;;;
300;16/02/2015;20;80;3;Poster Stand;Public Areas;27;81;San Francisco;;;
301;16/02/2015;20;33;1;Towel Rack;Furnishings;10;10;San Francisco;;;
302;17/02/2015;17;65;2;Ladder;Maintenance;89;178;Las Vegas;;;
303;17/02/2015;16;35;3;Tissue Box;Furnishings;25;75;Denver;;;
304;17/02/2015;8;67;1;Adjustable Wrench;Maintenance;10;10;Philadelphia;;;
305;17/02/2015;4;47;2;Swivel Chair;Furnishings;75;150;Seattle;;;
306;17/02/2015;10;87;3;End Table;Public Areas;30;90;Arlington;;;
307;17/02/2015;19;77;1;Large Area Rug;Public Areas;40;40;Los Angeles;;;
308;17/02/2015;12;27;3;Invisible Tape;Office Supplies;8;24;Dallas;;;
309;17/02/2015;12;60;1;Portable Drill;Maintenance;195;195;Dallas;;;
310;18/02/2015;5;79;2;Coffee Table;Public Areas;103;206;Kansas City;;;
311;18/02/2015;17;4;3;Shampoo;Housekeeping;40;120;Las Vegas;;;
312;18/02/2015;7;15;2;Drinking Glass;Housekeeping;24;48;Boston;;;
313;18/02/2015;5;61;1;Tape Measure;Maintenance;8;8;Kansas City;;;
314;18/02/2015;15;38;1;Bed (Double);Furnishings;250;250;Chicago;;;
315;19/02/2015;20;75;3;Small Plant;Public Areas;25;75;San Francisco;;;
316;19/02/2015;9;34;1;Shower Curtain;Furnishings;5;5;Richmond;;;
317;19/02/2015;13;94;1;Monitor;Public Areas;70;70;New Orleans;;;
318;19/02/2015;15;69;3;Door Knob;Maintenance;41;123;Chicago;;;
319;19/02/2015;3;9;2;Tissues;Housekeeping;14;28;Portland;;;
320;19/02/2015;3;43;1;Table Lamp;Furnishings;38;38;Portland;;;
321;20/02/2015;18;21;3;Printer Paper;Office Supplies;50;150;Phoenix;;;
322;20/02/2015;18;18;1;Coffee Cup;Housekeeping;24;24;Phoenix;;;
323;20/02/2015;15;73;2;Mop;Maintenance;15;30;Chicago;;;
324;20/02/2015;12;18;1;Coffee Cup;Housekeeping;24;24;Dallas;;;
325;20/02/2015;18;23;1;Printer Toner;Office Supplies;85;85;Phoenix;;;
326;20/02/2015;18;67;2;Adjustable Wrench;Maintenance;10;20;Phoenix;;;
327;20/02/2015;1;34;1;Shower Curtain;Furnishings;5;5;New York;;;
328;20/02/2015;9;8;2;Bath Soap;Housekeeping;35;70;Richmond;;;
329;20/02/2015;10;84;3;Tall Chair;Public Areas;75;225;Arlington;;;
330;20/02/2015;14;61;2;Tape Measure;Maintenance;8;16;Nashville;;;
331;20/02/2015;10;91;1;Small Sign;Public Areas;14;14;Arlington;;;
332;20/02/2015;5;55;1;Television;Furnishings;200;200;Kansas City;;;
333;21/02/2015;18;12;1;Bed Sheet (King);Housekeeping;29;29;Phoenix;;;
334;21/02/2015;4;8;2;Bath Soap;Housekeeping;35;70;Seattle;;;
335;21/02/2015;12;63;3;Duct Tape;Maintenance;27;81;Dallas;;;
336;21/02/2015;6;43;3;Table Lamp;Furnishings;38;114;Orlando;;;
337;21/02/2015;8;18;1;Coffee Cup;Housekeeping;24;24;Philadelphia;;;
338;21/02/2015;5;62;3;Leaf Blower;Maintenance;202;606;Kansas City;;;
339;21/02/2015;7;14;2;Pillowcase;Housekeeping;15;30;Boston;;;
340;21/02/2015;17;36;3;Armoire;Furnishings;115;345;Las Vegas;;;
341;21/02/2015;19;29;3;Erasable Markers;Office Supplies;6;18;Los Angeles;;;
342;21/02/2015;4;8;2;Bath Soap;Housekeeping;35;70;Seattle;;;
343;21/02/2015;3;18;1;Coffee Cup;Housekeeping;24;24;Portland;;;
